1479998284.000000, 1479998284.000000, 1479998284.000000.1
320,-9.0,-64.0,-1.0
321,-12.0,-65.0,1.0
322,-12.0,-65.0,1.0
323,-12.0,-64.0,0.0
324,-11.0,-64.0,-1.0
325,-10.0,-64.0,0.0
326,-8.0,-63.0,-1.0
327,-7.0,-62.0,-3.0
328,-4.0,-62.0,-3.0
329,-3.0,-62.0,-4.0
330,-13.0,-59.0,-6.0
331,-14.0,-58.0,-8.0
332,-14.0,-59.0,-7.0
333,-15.0,-61.0,-6.0
334,-14.0,-61.0,-5.0
335,-16.0,-62.0,-5.0
336,-17.0,-63.0,-6.0
337,-17.0,-63.0,-7.0
338,-17.0,-63.0,-7.0
339,-17.0,-64.0,-8.0
340,-17.0,-63.0,-9.0
341,-17.0,-63.0,-9.0
342,-17.0,-62.0,-10.0
343,-18.0,-62.0,-9.0
344,-18.0,-62.0,-9.0
345,-17.0,-62.0,-7.0
346,-14.0,-62.0,-6.0
347,-14.0,-62.0,-5.0
348,-5.0,-61.0,-4.0
349,-2.0,-60.0,-3.0
350,6.0,-61.0,-1.0
351,8.0,-60.0,-3.0
352,-52.0,-63.0,-16.0
353,18.0,-91.0,18.0
354,-8.0,-63.0,-5.0
355,8.0,-63.0,-10.0
356,3.0,-66.0,-7.0
357,-12.0,-61.0,-10.0
358,-13.0,-64.0,-8.0
359,-8.0,-64.0,-8.0
360,-6.0,-63.0,-9.0
361,-11.0,-62.0,-11.0
362,-10.0,-62.0,-8.0
363,-8.0,-63.0,-11.0
364,-13.0,-62.0,-13.0
365,-11.0,-62.0,-12.0
366,-10.0,-62.0,-13.0
367,-8.0,-62.0,-11.0
368,-8.0,-62.0,-12.0
369,-7.0,-62.0,-13.0
370,-7.0,-61.0,-13.0
371,-6.0,-62.0,-10.0
372,-4.0,-62.0,-9.0
373,-5.0,-64.0,-10.0
374,-1.0,-64.0,-3.0
375,1.0,-66.0,-5.0
376,1.0,-69.0,-4.0
377,4.0,-71.0,-4.0
378,-3.0,-82.0,-5.0
379,-11.0,-100.0,-12.0
380,-16.0,-102.0,-6.0
381,-55.0,-108.0,-38.0
382,-75.0,-87.0,-52.0
383,32.0,-128.0,-19.0
384,57.0,-102.0,2.0
385,108.0,-128.0,4.0
386,21.0,-87.0,-10.0
387,5.0,-54.0,-16.0
388,3.0,-3.0,1.0
389,-5.0,1.0,-5.0
390,-22.0,13.0,-3.0
391,-11.0,12.0,-12.0
392,-1.0,9.0,-12.0
393,23.0,-1.0,4.0
394,40.0,-12.0,17.0
395,83.0,-47.0,36.0
396,127.0,-106.0,2.0
397,99.0,-128.0,99.0
398,70.0,-86.0,-56.0
399,12.0,-34.0,-13.0
400,5.0,-74.0,3.0
401,11.0,-63.0,0.0
402,12.0,-64.0,-2.0
403,9.0,-63.0,-2.0
404,8.0,-66.0,-4.0
405,6.0,-61.0,-11.0
406,2.0,-60.0,-12.0
407,1.0,-60.0,-12.0
408,-4.0,-65.0,-9.0
409,-5.0,-64.0,-9.0
410,0.0,-67.0,-6.0
411,-1.0,-66.0,-7.0
412,1.0,-74.0,-11.0
413,-8.0,-92.0,-8.0
414,-13.0,-103.0,-10.0
415,-32.0,-102.0,-7.0
416,-53.0,-97.0,-23.0
417,-29.0,-76.0,-35.0
418,48.0,-128.0,-16.0
419,118.0,-128.0,23.0
420,45.0,-128.0,15.0
421,-1.0,-107.0,-13.0
422,-15.0,-19.0,-6.0
423,-26.0,7.0,-18.0
424,-47.0,12.0,-15.0
425,-50.0,14.0,-22.0
426,-37.0,8.0,-15.0
427,-6.0,-6.0,-9.0
428,14.0,-13.0,-4.0
429,49.0,-44.0,23.0
430,69.0,-59.0,36.0
431,127.0,-128.0,33.0
432,-88.0,-14.0,37.0
433,55.0,-128.0,-35.0
434,24.0,-63.0,14.0
435,12.0,-68.0,4.0
436,8.0,-64.0,-1.0
437,11.0,-63.0,1.0
438,11.0,-65.0,2.0
439,7.0,-63.0,-5.0
440,6.0,-62.0,-7.0
441,3.0,-63.0,-8.0
442,-1.0,-61.0,-10.0
443,-2.0,-62.0,-8.0
444,1.0,-68.0,-9.0
445,-2.0,-68.0,-9.0
446,-1.0,-79.0,-12.0
447,-1.0,-88.0,-9.0
448,-10.0,-93.0,-1.0
449,-30.0,-91.0,-4.0
450,-42.0,-82.0,-21.0
451,-7.0,-90.0,-28.0
452,16.0,-111.0,-17.0
453,99.0,-128.0,19.0
454,54.0,-128.0,12.0
455,10.0,-108.0,-14.0
456,-12.0,-45.0,-2.0
457,-36.0,0.0,-22.0
458,-39.0,3.0,-9.0
459,-45.0,9.0,-13.0
460,-40.0,9.0,-16.0
461,0.0,-1.0,-16.0
462,19.0,-6.0,-6.0
463,49.0,-35.0,30.0
464,68.0,-49.0,41.0
465,127.0,-128.0,34.0
466,-84.0,-28.0,31.0
467,49.0,-128.0,-34.0
468,24.0,-64.0,11.0
469,16.0,-70.0,-1.0
470,11.0,-64.0,1.0
471,12.0,-65.0,1.0
472,9.0,-64.0,-1.0
473,10.0,-66.0,-2.0
474,7.0,-63.0,-4.0
475,5.0,-63.0,-8.0
476,2.0,-62.0,-7.0
477,0.0,-68.0,-6.0
478,0.0,-68.0,-9.0
479,3.0,-72.0,-7.0
480,2.0,-79.0,-8.0
481,-3.0,-83.0,-8.0
482,-12.0,-92.0,-3.0
483,-21.0,-94.0,0.0
484,-46.0,-75.0,-7.0
485,4.0,-94.0,-31.0
486,29.0,-104.0,-38.0
487,107.0,-128.0,23.0
488,120.0,-128.0,23.0
489,14.0,-115.0,-4.0
490,-23.0,-55.0,-9.0
491,-21.0,-4.0,-9.0
492,-39.0,5.0,-14.0
493,-40.0,11.0,-10.0
494,-48.0,14.0,-21.0
495,-9.0,-2.0,-21.0
496,6.0,-8.0,-19.0
497,42.0,-35.0,14.0
498,66.0,-55.0,31.0
499,127.0,-128.0,35.0
500,127.0,-128.0,109.0
501,26.0,-85.0,-67.0
502,15.0,-68.0,18.0
503,14.0,-72.0,-11.0
504,9.0,-64.0,3.0
505,12.0,-64.0,4.0
506,9.0,-63.0,1.0
507,10.0,-63.0,-5.0
508,5.0,-62.0,-6.0
509,5.0,-62.0,-7.0
510,1.0,-62.0,-7.0
511,1.0,-64.0,-10.0
512,1.0,-65.0,-8.0
513,-2.0,-63.0,-10.0
514,0.0,-70.0,-13.0
515,4.0,-70.0,-9.0
516,-3.0,-87.0,-10.0
517,-11.0,-95.0,-1.0
518,-23.0,-95.0,-1.0
519,-44.0,-82.0,-27.0
520,-46.0,-73.0,-38.0
521,36.0,-119.0,-19.0
522,71.0,-125.0,2.0
523,80.0,-128.0,16.0
524,37.0,-127.0,8.0
525,-18.0,-75.0,-15.0
526,-32.0,-1.0,-16.0
527,-40.0,4.0,-12.0
528,-47.0,8.0,-12.0
529,-52.0,11.0,-18.0
530,-11.0,1.0,-17.0
531,25.0,-8.0,1.0
532,37.0,-21.0,21.0
533,69.0,-46.0,42.0
534,127.0,-128.0,97.0
535,-114.0,-42.0,47.0
536,47.0,-91.0,-71.0
537,2.0,-72.0,20.0
538,15.0,-66.0,3.0
539,9.0,-64.0,5.0
540,10.0,-64.0,0.0
541,10.0,-63.0,0.0
542,5.0,-64.0,-4.0
543,4.0,-63.0,-6.0
544,3.0,-63.0,-9.0
545,2.0,-63.0,-7.0
546,-1.0,-64.0,-7.0
547,1.0,-64.0,-9.0
548,1.0,-66.0,-5.0
549,1.0,-69.0,-9.0
550,4.0,-77.0,-9.0
551,-4.0,-87.0,-5.0
552,-16.0,-98.0,5.0
553,-28.0,-103.0,-6.0
554,-55.0,-78.0,-36.0
555,18.0,-108.0,-21.0
556,36.0,-110.0,-16.0
557,88.0,-128.0,20.0
558,79.0,-128.0,14.0
559,10.0,-98.0,-12.0
560,-22.0,-28.0,7.0
561,-19.0,-5.0,-7.0
562,-41.0,3.0,-7.0
563,-32.0,10.0,-7.0
564,-35.0,13.0,-12.0
565,-21.0,12.0,-12.0
566,11.0,1.0,-8.0
567,39.0,-26.0,25.0
568,60.0,-41.0,33.0
569,127.0,-128.0,18.0
570,101.0,-114.0,70.0
571,0.0,-93.0,-48.0
572,8.0,-66.0,23.0
573,9.0,-70.0,-8.0
574,9.0,-64.0,4.0
575,8.0,-63.0,1.0
576,12.0,-66.0,-1.0
577,7.0,-64.0,-6.0
578,7.0,-63.0,-4.0
579,2.0,-60.0,-11.0
580,2.0,-63.0,-5.0
581,1.0,-63.0,-6.0
582,0.0,-65.0,-2.0
583,0.0,-67.0,-8.0
584,1.0,-72.0,-10.0
585,-1.0,-79.0,-11.0
586,-12.0,-95.0,0.0
587,-19.0,-96.0,1.0
588,-44.0,-93.0,-18.0
589,-34.0,-69.0,-39.0
590,21.0,-108.0,-17.0
591,78.0,-121.0,3.0
592,81.0,-128.0,19.0
593,21.0,-120.0,4.0
594,-3.0,-93.0,-18.0
595,-2.0,-39.0,0.0
596,-28.0,-3.0,-14.0
597,-35.0,0.0,-4.0
598,-40.0,5.0,-15.0
599,-33.0,7.0,-15.0
600,-8.0,-2.0,-16.0
601,14.0,-13.0,1.0
602,30.0,-26.0,15.0
603,58.0,-51.0,33.0
604,127.0,-127.0,2.0
605,-103.0,-19.0,75.0
606,22.0,-85.0,-105.0
607,7.0,-63.0,31.0
608,14.0,-65.0,-1.0
609,8.0,-64.0,6.0
610,12.0,-64.0,1.0
611,7.0,-63.0,-2.0
612,6.0,-64.0,-3.0
613,6.0,-63.0,-4.0
614,3.0,-63.0,-6.0
615,-3.0,-62.0,-9.0
616,-1.0,-63.0,-9.0
617,-5.0,-63.0,-10.0
618,-4.0,-63.0,-9.0
619,-1.0,-68.0,-4.0
620,3.0,-73.0,-5.0
621,0.0,-77.0,-4.0
622,-10.0,-100.0,-12.0
623,-23.0,-104.0,-4.0
624,-47.0,-98.0,-22.0
625,-40.0,-72.0,-42.0
626,20.0,-119.0,-17.0
627,82.0,-128.0,8.0
628,74.0,-128.0,16.0
629,18.0,-111.0,3.0
630,-3.0,-88.0,-13.0
631,-3.0,-20.0,-2.0
632,-29.0,-1.0,-13.0
633,-26.0,0.0,-10.0
634,-41.0,13.0,-20.0
635,-32.0,10.0,-19.0
636,-3.0,2.0,-14.0
637,24.0,-17.0,13.0
638,40.0,-38.0,32.0
639,71.0,-55.0,50.0
640,86.0,-55.0,29.0
641,-128.0,-67.0,127.0
642,73.0,-48.0,-4.0
643,10.0,-65.0,26.0
644,16.0,-65.0,2.0
645,10.0,-63.0,7.0
646,10.0,-65.0,-1.0
